类别;部门;电话 1;电话 2;备注
院领导/行政，总值班，2042，2347，
院领导/行政，保卫值班，2110，，
院领导/行政，总务值班，2011，，
院领导/行政，院办，2128，2560，
院领导/行政，机要室，2080，，
院领导/行政，文印室，2195，，
院领导/行政，司机班，2133，，
院领导/行政，信息处，2218，2230，
院领导/行政，统计室，2212，，
院领导/行政，查询台，2114，，
院领导/行政，监控台，2385，2411，
院领导/行政，人事处，2196，2201，
院领导/行政，培训中心，2108，2178，
院领导/行政，党办，2210，，
院领导/行政，公关部，2206，2242，
院领导/行政，声像室，2169，，
院领导/行政，工会，2185，2152，
院领导/行政，职工活动室，2583，，
院领导/行政，医务处，2187，2189，
院领导/行政，投诉中心，2187，，
院领导/行政，病案室，2002，2533，
院领导/行政，护理部，2219，2199，
院领导/行政，护校，2086，2298，
院领导/行政，图书馆，2073，2174，
院领导/行政，医保办公室，2207，2149，
院领导/行政，保卫处，2203，2151，
院领导/行政，应急队，2027，，
院领导/行政，警务室，2110，，
急诊区域，急诊抢救，2393，，
急诊区域，急诊观察一室，2365，，
急诊区域，急诊观察二室，2364，，
急诊区域，急诊输液室，2346，，
急诊区域，外科急诊，2361，，
急诊区域，内科急诊，2562，，
急诊区域，妇科急诊，2015，，
急诊区域，口腔急诊，2191，，
急诊区域，耳鼻喉急诊，2060，，
急诊区域，急诊药房，2127，，
急诊区域，急诊挂号，2058，，
急诊区域，急诊收费，2516，，
急诊区域，住院处，2563，，
急诊区域，急诊主任，2565，，
急诊区域，120 内线，2392，，
门诊区域，门诊办公室，2134，，
门诊区域，门诊导诊台，2137，，
门诊区域，预约挂号，2165，，
门诊区域，肝内门诊，2140，，
门诊区域，肝外门诊，2226，，
门诊区域，消化门诊，2135，，
门诊区域，神经内科门诊，2391，，
门诊区域，妇科门诊，2024，，
门诊区域，儿科门诊，2035，，
门诊区域，口腔诊室，2014，，
门诊区域，耳鼻喉门诊，2547，，
门诊区域，眼科门诊，2496，，
门诊区域，皮肤中心，2254，，
门诊区域，心理门诊，2269，，
门诊区域，肠道门诊，2576，，
门诊区域，心电图，2032，，
门诊区域，脑电图，2037，，
门诊区域，肺功能，2515，，
病区 -2 层，重症医学科护理站，2105，2612，床位 1-20
病区 -2 层，重症医学科医生办，2096，，
病区 -2 层，血液净化主任，2240，，
病区 -4 层，产科护理站，2131，，床位 21-56
病区 -4 层，产科医生办，2124，，
病区 -4 层，新生儿病房，2136，，床位 67-87
病区 -5 层，妇科护理站，2120，，床位 88-136
病区 -5 层，妇科医生办，2355，，
病区 -5 层，儿科护理站，2166，，床位 137-178
